Rk.   Player Name               Team       Scoring Rtg     GP    MPG   PPG   FG%/3P%/FT%          TSA/G
168   Tre Mann                  OKC        31.09368307     13    24.1  11.1  40.1/33.3/62.5       11.1 
169   Josh Green                DAL        31.05470612     12    18.9  6.2   62.5/50.0/63.6       4.1  
170   Grayson Allen             MIL        31.01654683     11    26.9  10.8  42.2/42.6/92.9       8.7  
171   Dean Wade                 CLE        30.66165668     11    22.8  7.3   52.9/50.0/72.7       5.1  
172   Ivica Zubac               LAC        30.41884548     13    30.6  10.6  60.9/0.0/60.5        8.5  
173   Tim Hardaway Jr.          DAL        30.33849375     11    24.2  11.7  33.9/33.3/89.7       11.6 
174   Cedi Osman                CLE        30.29496993     13    21.4  8.9   44.0/38.8/70.8       7.8  
175   Jose Alvarado             NOP        30.28434779     13    18.8  7.7   46.9/41.9/66.7       6.5  
176   Patty Mills               BKN        30.17282617     13    12.9  5.7   42.6/41.9/100.0      4.5  
177   Kyle Lowry                MIA        30.047491       13    35.0  13.0  40.3/34.1/91.1       11.1 
178   Jarred Vanderbilt         UTA        29.91522174     13    24.9  8.6   57.3/43.8/64.7       6.9  
179   Ty Jerome                 GSW        29.78129845     8     15.0  6.0   53.3/37.5/100.0      4.3  
180   Mo Bamba                  ORL        29.69686703     12    14.6  6.2   50.8/29.6/58.3       5.4  
181   Caris LeVert              CLE        29.60000345     13    34.7  13.8  39.1/42.4/78.0       13.4 
182   Luguentz Dort             OKC        29.15151215     13    30.2  13.5  39.2/25.0/77.3       13.6 
183   Chris Duarte              IND        28.67005021     9     19.6  8.9   39.4/34.2/91.7       8.5  
184   Dwight Powell             DAL        28.4307377      9     18.4  6.3   63.9/0.0/78.6        4.7  
185   Aleksej Pokusevski        OKC        28.20674497     11    23.3  9.4   44.6/35.9/53.8       8.9  
186   Dalano Banton             TOR        28.02643912     13    9.4   4.9   42.9/33.3/80.0       4.6  
187   Terance Mann              LAC        27.76020072     13    17.9  6.4   58.1/25.0/54.5       5.1  
188   Patrick Williams          CHI        27.69015348     14    25.2  9.3   46.4/37.5/92.9       8.3  
189   Bruce Brown               DEN        27.6400805      13    27.7  10.0  45.1/39.0/80.0       9.2  
190   Mason Plumlee             CHA        27.59215011     14    26.3  9.1   60.8/0.0/57.4        7.3  
191   Jalen McDaniels           CHA        27.5167222      14    26.4  9.9   43.2/40.8/84.2       9.0  
192   Tre Jones                 SAS        27.43333079     13    30.4  12.3  41.3/41.9/91.7       11.8 
193   Santi Aldama              MEM        27.37210537     14    27.7  9.8   46.5/33.3/63.6       8.8  
194   Jeff Green                DEN        27.30661256     13    19.9  7.8   52.1/27.8/74.1       6.5  
195   Jalen Williams            OKC        27.28759022     9     21.4  7.8   53.4/18.8/100.0      6.7  
196   Walker Kessler            UTA        27.2655816      12    14.6  5.4   66.7/0.0/50.0        4.2  
197   Jevon Carter              MIL        27.21207574     12    26.6  9.2   42.7/42.3/75.0       8.3  
198   Landry Shamet             PHX        27.12110664     9     16.3  7.0   40.0/36.4/84.6       6.2  
199   Mike Conley               UTA        26.99527171     14    30.3  10.8  39.8/37.5/75.9       10.1 
200   Tari Eason                HOU        26.8794572      13    18.4  8.3   42.7/44.0/78.9       8.0  
201   Edmond Sumner             BKN        26.72009771     11    16.5  7.4   42.9/32.0/95.0       6.5  
